Номенклатура,Номенклатура.Код,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026,Итого
Светильник светодиодный аккумуляторный ДБА 3928 15ч 12Вт IEK,130200378_,24,21,1,,41,10,21,25,26,31,94,11,,,9,11,50,67,30,50,10,81,12,47,7,16,87,10,31,38,51,,,912
Светильник светодиодный консольный ДКУ 1013-150Д 5000К IP65 IEK,яяярп5300,,70,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
Светильник уличный 5100 настенный E27 IP54 черный IEK,150101182_,,,,,,,,,,,1,-1,,8,,,20,5,3,,,,4,,,1,23,1,3,,17,,14,99
Светильник уличный 5101 настенный E27 IP54 черный IEK,150101183_,,,,,,,,,,,4,,3,,5,1,3,9,16,5,6,14,,,,31,6,,5,,2,2,9,121
Светильник уличный 5104 потолочный GX53 IP65 белый IEK,150101200_,,,,,,,,,,2,20,3,,,,,5,,2,16,10,,2,,39,,,,,,9,1,,109
Светильник уличный 5104 потолочный GX53 IP65 серый IEK,150101202_,,,,,,,,,,,44,6,,,,,,,,,6,14,,,6,,,,,,,16,4,96
Светильник уличный 5104 потолочный GX53 IP65 черный IEK,150101201_,,,,,,,,,,,81,,,,5,,30,,10,,26,46,39,,6,12,,4,31,4,9,,34,337
Светильник уличный 5107 настенный GU10 IP65 белый IEK,150101188_,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,5
Светильник уличный 5107 настенный GU10 IP65 серый IEK,150101190_,,,,,,,,,,35,,20,,6,8,,,3,,12,2,,11,2,1,,,,2,,,18,,120
Светильник уличный 5107 настенный GU10 IP65 черный IEK,150101189_,,,,,,,,,,24,10,5,,2,4,11,11,4,,1,8,14,1,1,,16,,11,,1,9,,1,134
Светильник уличный 5108 настенный 2хGU10 IP65 белый IEK,150101191_,,,,,,,,,,36,16,6,,,,4,,,,7,3,,,12,,,,,,,,,11,95
Светильник уличный 5108 настенный 2хGU10 IP65 серый IEK,150101193_,,,,,,,,,,19,40,,,,3,,5,12,11,11,1,7,78,,,16,12,22,22,2,16,,,277
Светильник уличный 5108 настенный 2хGU10 IP65 черный IEK,150101192_,,,,,,,,,,15,17,19,,1,3,4,4,3,46,,32,15,46,2,,14,,,36,,9,6,4,276
Светильник уличный 5110 потолочный GU10 IP65 белый IEK,150101203_,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,20
Светильник уличный 5110 потолочный GU10 IP65 серый IEK,150101205_,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,31
Светильник уличный 5110 потолочный GU10 IP65 черный IEK,150101204_,,,,,,,,,,,20,,,69,,,,,,,,,,,,,,,,,,,,89
Светильник уличный 5112 настенный GU10 IP65 серый IEK,150101207_,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,,8
Светильник уличный 5113 настенный 2хGU10 IP65 серый IEK,150101209_,,,,,,,,,,8,32,,,2,,,,,3,16,,4,2,2,,,,,,,,,,69
Светильник уличный 5113 настенный 2хGU10 IP65 черный IEK,150101208_,,,,,,,,,,,,8,,,,1,,,56,5,,51,4,,,,10,,13,40,7,,12,207
Светильник уличный 5220 настенный GU10 IP65 белый IEK,150101194_,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,3
Светильник уличный 5220 настенный GU10 IP65 серый IEK,150101196_,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
Светильник уличный 5220 настенный GU10 IP65 черный IEK,150101195_,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
Светильник уличный 5221 настенный 2хGU10 IP65 белый IEK,150101197_,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,5
Светильник уличный 5221 настенный 2хGU10 IP65 серый IEK,150101199_,,,,,,,,,,,1,15,,,,,,27,,,15,,1,14,,,,2,,,,,,75
Светильник уличный 5221 настенный 2хGU10 IP65 черный IEK,150101198_,,,,,,,,,,,,,,,,1,,,,11,16,11,3,2,,,,,3,1,,,,48
Светильник уличный 5222 потолочный GU10 IP65 белый IEK,150101210_,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3
Светильник уличный LED 5103 наст. 10Вт 4000К IP54 серый IEK,150101178_,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,20
Светильник уличный LED 5103 наст. 10Вт 4000К IP54 черный IEK,150101177_,,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,6
Светильник уличный LED 5111 наст. 6Вт 4000К IP65 белый IEK,150101179_,,,,,,,,,,2,18,,-1,,,,,,,,,1,1,,,,,,,,,,1,22
Светильник уличный LED 5111 наст. 6Вт 4000К IP65 серый IEK,150101181_,,,,,,,,,,2,27,,4,1,,,9,,2,,,,1,,8,8,,,,,1,,,63
Светильник уличный LED 5111 наст. 6Вт 4000К IP65 черный IEK,150101180_,,,,,,,,,,19,,,,,,60,,,,19,8,4,20,70,6,,,,,,26,,,232
Светильник-ночник 001 круг USB датчик осв. 220В IEK,081100760_,1,2,,,,5,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,13
Светильник-ночник 002 овал розетка 220В IEK,081100759_,2,,,,,5,1,,,2,1,,1,,,,,,,,3,,,,1,1,,3,1,5,1,2,1,30
Светильник-ночник 005 овал 220В IEK,081100758_,5,3,1,,2,11,,,,2,,,,,,,2,2,1,,,,,,3,1,,7,,1,1,,1,43
Светильник-ночник 018 квадрат датчик осв. 220В IEK,081100761_,96,26,18,33,17,10,8,21,27,10,4,8,6,19,10,8,25,44,10,16,10,9,8,8,1,1,,,,1,,,,454
"Светодиодная лента ""Неон"" (лента LED 10м LSR5-2835WW120-8-IP65-220В - 3000K+ драйвер) IEK",080800137_,1,1,1,1,,,,1,2,,,,,,,,1,,,2,,,,1,,1,,,,,,,,12
"Светодиодная лента ""Неон"" LED 10м LSR5-2835W120-8-IP65-220В-6500K+драйвер IEK",080800139_,,1,1,,,,,,,,,1,,,,1,,1,,,,,1,,,,,,2,,,,2,10
"Светодиодная лента ""Неон"" LED 10м LSR5-5050RGB60-8-IP65-220В+драйвер IEK",080800141_,,,,1,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,5
"Светодиодная лента ""Неон"" LED 5м LSR5-2835W120-8-IP65-220В-6500K+драйвер IEK",080800138_,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,2,,,,1,7
"Светодиодная лента ""Неон"" LED 5м LSR5-2835WW120-8-IP65-220В-3000K+драйвер IEK",080800136_,2,,,,,,,,,,4,,,,2,1,,,,3,-2,,1,2,,1,,,,,,,,14
"Светодиодная лента ""Неон"" LED 5м LSR5-5050RGB60-8-IP65-220В+драйвер IEK",080800140_,3,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,5
"Светодиодная лента ""Сделай сам"" LED 1,2м LSR-2835WW60-4,8-IP20-12В-3000K+драйвер+датч движ IEK",080800130_,,,,,,,,,,1,,1,,,,,,,1,,,,,1,,,,,,,,,,4
"Светодиодная лента ""Сделай сам"" LED 2х1,2м LSR-2835WW60-4,8-IP20-12В-3000K+драйвер+2 датч движ IEK",080800129_,1,,,,,,,,,,,,,,,,,,,1,-1,1,,,,,,,,,,,,2
"Светодиодная лента ""Сделай сам"" LED 5м LSR-2835W60-4,8-IP20-12В-6500K+драйвер+выкл IEK",080800132_,,1,1,,,,,,3,,2,,,1,,,1,,,,,2,2,,,,2,,,,,1,,16
"Светодиодная лента ""Сделай сам"" LED 5м LSR-2835W60-4,8-IP65-12В-6500K+драйвер+выкл IEK",080800133_,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3
"Светодиодная лента ""Сделай сам"" LED 5м LSR-2835WW60-4,8-IP20-12В-3000K+драйвер+выключатель IEK",080800128_,1,,,,,,,,,,1,2,,3,,,1,,,,,,,1,,,1,1,,,,,,11
"Светодиодная лента ""Сделай сам"" LED 5м LSR-2835WW60-4,8-IP65-12В-3000K+драйвер+выкл IEK",080800131_,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,1,,,,,,5
"Светодиодная лента ""Сделай сам"" LED 5м LSR-5050RGB60-14,4-IP20-12В+драйвер+контр IEK",080800134_,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
"Светодиодная лента ""Сделай сам"" LED 5м LSR-5050RGB60-14,4-IP65-12В+драйвер+контр IEK",080800135_,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
"Светорег. пов-наж. 600Вт ""BRITE"" алюминий (1/80)",030200987_,,6,,,,,,27,4,1,,1,,1,,,,,,,,3,1,,,,,,1,1,1,1,,48
"Светорег. пов-наж. 600Вт ""BRITE"" белый (1/80)",030200773_,7,1,,2,10,2,1,3,1,12,,1,15,13,2,13,1,4,9,,3,1,1,2,3,,,9,,9,6,1,,132
"Светорег. пов-наж. 600Вт ""BRITE"" графит (1/80)",030200985_,10,1,31,2,14,5,,,,10,1,2,,,1,,,,,1,4,1,2,,,,,15,,6,,,,106
"Светорег. пов-наж. 600Вт ""BRITE"" сталь (1/80)",030200986_,1,,,3,1,,,,2,,,,,,,1,,5,,1,,1,,2,,,,,,,,,2,19
"Светорег. пов-наж. 600Вт ""BRITE"" черный (1/80)",030200885_,10,83,34,17,19,-91,5,7,6,1,4,4,2,28,2,11,8,3,3,,4,,2,1,,,,2,2,7,,2,,176
Сиг. лампа AL-22  d22мм зеленый неон/240В цилиндр IEK (200) !!!,ст-9952430,,,,,,10,,12,1,,,,2,5,,,2,,4,6,1,1,2,15,,12,,,,,,,,73
Сиг. лампа AL-22  d22мм красный неон/240В цилиндр IEK (200) !!!,ст-9952431,,,,,,,,10,1,,,,,5,,,,,2,7,1,3,2,7,,8,,,,,,,,46
Сиг. лампа ENR-22  d22мм белый неон/240В цилиндр IEK !!!,щт-0001802,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3
Сиг. лампа ЛС-47 (желтый неон) IEK (12/240),080800062_,7,13,,16,10,6,28,,12,42,7,2,4,21,,37,5,1,2,3,4,3,24,11,1,,8,19,14,19,8,3,1,331
Сиг. лампа ЛС-47 (зеленый неон) IEK (12/240),080800030_,30,19,6,29,25,6,54,,19,71,31,9,24,24,5,20,5,1,2,46,10,14,26,13,,2,10,32,23,20,21,11,56,664
Сиг. лампа ЛС-47 (красный неон) IEK (12/240),080800031_,9,25,1,16,13,9,36,8,13,45,14,3,16,10,3,37,9,5,7,16,9,8,25,14,2,3,8,38,35,24,13,3,21,498
"Сизы-1 (1,5-3,5) синий IEK (100)",130300271_,,,,,,,,,,,,,,2,3,,,3,,,,,,,,,,,,,,,,8
"Сизы-1 (2,0-4,0) оранжевый P7-3 IEK (100)",130300089_,81,73,134,4,2,,,,10,2,,,,,,,,,,1,,,,,,,,,,,,,,307
"Сизы-1 (2,5-4,5) желтый P7-4 IEK (100)",130300090_,6,,,,1,,,1,-1,,,,,,,,,,3,,,,,,,,,,,,,,,10
"Сизы-1 (4,0-11,0) красный P7-5 IEK (100)",130300091_,10,,1,,39,5,2,,,,,,,1,,7,4,,,1,,,,,,1,,,,,,12,,83
Сизы-1 (9-25мм) серый IEK (100),130300275_,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Скоба RCS-2 на ДИН-рейку для ВА88-33 IEK !!!,010800025_,,,,,,,,1,,4,,,,,,,,,,,,,,3,,,,,,,,,,8
Скоба потолочная IEK (40),280300024_,,,,,,,,,,,,,,,,7,,,,,,6,,,,,,,,,,,,13
Скрепа СГ-20 IEK (100),130300471_,,2,11,,,21,13,,20,,6,1,5,2,5,,3,1,1,,,2,1,1,2,,,3,,,,1,,101
Скрепа СУ-20 IEK (100) ,130300449_,2,,,,2,1,3,1,1,,3,3,1,3,3,2,1,,2,2,,1,3,,1,5,,2,1,1,,1,2,47
Совмещенный контакт АКДК-250/400А IEK !!!,щт02229866,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Совмещенный контакт АКДК-630/800/1600А IEK !!!,щт-0001387,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4
Соеденитель на стык лицевой  для крышки 60 мм ПРАЙМЕР (720),280100138_,,1,3,,1,,,15,7,121,,27,15,,30,26,,,30,24,28,,5,5,1,26,50,15,60,57,38,,6,591
Соеденитель на стык лицевой  для крышки 75 мм ПРАЙМЕР (720),280100137_,65,103,80,,2,100,38,7,,64,95,117,,,3,10,44,-12,31,20,20,97,41,10,22,28,23,48,14,5,,,8,1083
Соединитель безвинтовой CF IEK !!!,ст-9953508,,,,,,,13,,,,2,,,,,,,,,,,,,,4,,,,,,,,,19
Соединитель на стык боковой высотой 40 мм.  ПРАЙМЕР (1440),280100134_,81,,84,20,44,14,129,80,,210,116,63,62,10,4,38,154,35,118,134,30,222,34,45,26,32,144,179,12,93,62,,12,2287
Соединитель на стык КМС 100х40 Белый ЭЛЕКОР IEK (2),280200058_,,2,,20,,,40,28,6,,10,,15,35,,,25,4,,,10,40,,47,2,,,22,4,,31,5,6,352
Соединитель на стык КМС 100х60 Белый ЭЛЕКОР IEK (2),280200059_,2,23,7,,39,10,51,18,8,64,,,22,3,55,20,4,12,,4,56,56,30,44,5,132,20,93,8,38,90,30,96,1040
Соединитель на стык КМС 100х60 черный ЭЛЕКОР IEK (2шт/компл),280100454_,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Соединитель на стык КМС 15х10 черный ЭЛЕКОР IEK (4шт/компл),280100448_,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4
Соединитель на стык КМС 16х16 Белый ЭЛЕКОР IEK (4),280200061_,,,8,,7,5,55,17,23,5,2,,,,,,,,6,60,24,10,33,,,30,,,3,,134,5,,427
Соединитель на стык КМС 20х10 Белый ЭЛЕКОР IEK (4),280200062_,25,,25,,5,,10,9,,40,50,30,,,4,13,,,,62,,,,,50,,,,,48,1,20,,392
Соединитель на стык КМС 20х10 черный ЭЛЕКОР IEK (4шт/компл),280100450_,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,10,,,,,14
Соединитель на стык КМС 25х16 Белый ЭЛЕКОР IEK (4),280200083_,40,3,,206,23,15,132,41,20,307,,48,31,20,8,174,12,15,13,188,12,150,75,46,24,111,3,82,65,160,118,51,108,2301
Соединитель на стык КМС 25х16 дуб ЭЛЕКОР IEK (4шт/компл),280100362_,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4
Соединитель на стык КМС 25х16 сосна ЭЛЕКОР IEK (4шт/компл),280100398_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,-60,,,,
Соединитель на стык КМС 25х16 черный ЭЛЕКОР IEK (4шт/компл),280100451_,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4
Соединитель на стык КМС 40х16 Белый ЭЛЕКОР IEK (4),280200063_,,,,,45,2,23,15,,,,58,42,,,,,4,27,15,,2,3,10,15,56,15,,,,,,10,342
Соединитель на стык КМС 40х25 Белый ЭЛЕКОР IEK (4),280200064_,130,207,5,259,44,,56,,43,109,127,266,,69,405,8,,,22,657,542,52,48,25,,86,37,252,42,345,153,26,1,4016
Соединитель на стык КМС 40х25 дуб ЭЛЕКОР IEK (4шт/компл),280100364_,,,,,,,,,,,,,,,12,,6,,,,,,,,,,,,,,,,,18
Соединитель на стык КМС 60х40 Белый ЭЛЕКОР IEK (4),280200065_,4,40,2,54,66,71,16,133,22,48,54,37,6,19,33,24,48,9,,,,,20,78,,37,,55,,80,64,46,10,1076
"Стаб электрон СНР 1-0-1,5 кВА (1ф) переносной IEK (4)",011100098_,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2
Стаб электрон СНР 1-0-5 кВА (1ф) IEK (1),011100249_,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Стаб электрон СНР 1-0-8 кВА (1ф) IEK (1),011100251_,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
"Стабилизатор напряжения серии HOME 0,5 кВА (СНР1-0-0,5) IEK E-PRO",011100354_,,1,,,,,,,,,,-1,,,,,,,,,,,,1,,,,,,,,,,1
"Стабилизатор СНИ  0,5 кВА (1ф) IEK (1)",130200131_,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Стабилизатор СНИ  1 кВА (1ф) IEK (1),011100064_,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,3
Стабилизатор СНИ  2 кВА (1ф) IEK (1),011100063_,,,6,,,,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,10
Стабилизатор СНИ  3 кВА (1ф) IEK (1),011100062_,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4
Стабилизатор СНИ  3 кВА (3ф) IEK (1),011100067_,,,1,1,,,1,,,,2,,1,,,,,,,,1,,,,,,,,,,,,,7
Стабилизатор СНИ  5 кВА (1ф) IEK (1),011100065_,,,,,,,,,,1,,,,,,,,1,,,,1,,,,1,,,,,,,,4
Стабилизатор СНИ 10 кВА (1ф) IEK (1),011100071_,,,,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,4
Стабилизатор СНИ 15 кВА (3ф) IEK (1),011100068_,1,,,,,1,,1,,1,1,1,,1,,,1,1,,,,,1,1,,,,,,,,,,11
Стабилизатор СНИ 20 кВА (3ф) IEK (1),011100069_,1,,,1,1,,1,,,,2,,,1,,,1,,,,,,,,,,,,1,,,,,9
Стационарная розетка  113 2р+ре 16А 220В IP44 IEK,020100015_,,12,33,72,,1,18,30,12,11,1,64,34,,2,8,26,10,11,28,10,12,,,5,9,2,,,,12,1,,424
Стационарная розетка  114 3р+е 16А 380В IP 44 IEK,020100017_,4,15,9,21,5,12,5,5,10,2,,15,10,,28,,2,10,,,,18,1,,,16,1,,,,3,1,,193
Стационарная розетка  115 3р+ре+n 16А 380В IP 44 IEK,020100018_,4,35,10,40,16,,26,25,5,31,18,3,29,,16,,16,10,2,21,12,15,,,12,6,,,,,1,4,3,360
Стационарная розетка  123 2р+е 32А 220В IP44 IEK,020100019_,29,7,18,46,6,,37,20,20,52,22,14,30,21,-4,23,19,,,14,43,11,1,31,33,22,2,13,,13,1,4,34,582
Стационарная розетка  124 3р+ре 32А 380В IP 44 IEK,020100020_,146,65,110,201,79,28,52,23,166,79,148,102,86,62,27,48,23,181,3,48,16,11,39,13,1,10,11,14,,3,119,125,40,2079
Стационарная розетка  125 3р+ре+n 32А 380В IP 44 IEK,020100021_,77,162,89,209,142,23,67,112,75,138,148,128,166,30,29,47,61,61,13,94,28,59,15,17,20,21,12,21,37,14,47,61,60,2283
Стационарная розетка  134 3р+ре 63А 380В IP 54 IEK,020100022_,-1,20,49,10,5,1,17,20,,28,10,6,7,6,12,14,8,27,11,36,12,1,23,15,,12,13,13,1,,35,10,,421
Стационарная розетка  135 3р+ре+n 63А 380В IP 54 IEK,020100045_,6,12,5,7,2,2,,6,,1,7,1,,6,,3,,7,,,4,3,3,10,,1,,1,2,,4,2,2,97
Стационарная розетка  414 скрытая 3р+ре 16А 380В IP44 IEK,020100023_,4,,,,,,,,,,2,1,,30,,,,,,,,,,,,,,1,1,,,,,39
Стойка настенная СНП100  IEK !,ст-9952644,,,,,,,4,,,,8,,,,,,,,,,,,,,,,,,,,,,,12
Сумка монтажника открытого типа BG-05 ARMA2L 5 IEK (1),130200416_,,,,,,,,,1,,,,,,,2,,,,,,,,1,1,,1,,,,,,,6
Сумка монтажника с пластиковым дном BG-02 ARMA2L 5 IEK (1),130200414_,1,3,1,,,,,,2,,,1,5,,,,2,,,,,,,,,,,,,,,,,15
Сумка монтажника с пластиковым дном BG-03 ARMA2L 5 IEK (1),130200415_,2,,,,,,,,,,1,,,,1,,,,,,,,2,,,,,,,,,,1,7
Сумка монтажника универсальная BG-04 ARMA2L 5 IEK (1),130200413_,,4,1,,,1,1,1,,,,,,2,1,,,,,,2,1,,,,,,,,,1,1,1,17
"СФ-03К-вык (3 мест/1,5м.) IEK",290100031_,,1,,,,,2,,,,,1,,,,,,5,,3,3,5,6,,3,12,1,,,,,1,,43
"СФ-05К-вык (5 мест/1,5м.) IEK",290100032_,,2,,,,4,,,,6,2,1,2,3,2,,,,,,1,,,2,1,3,,5,1,1,2,2,,40
СФ-05К-вык (5 мест/3м.) IEK,290100033_,2,,,,2,2,5,,3,,4,2,,5,,,,1,3,1,,3,11,4,4,2,2,5,,5,1,3,2,72
СФ-05К-вык (5 мест/3м.) серый IEK,290100146_,,,,,,,,,,,,,,,,,,,,,10,,7,1,1,3,2,,,2,2,,11,39
СФ-05К-вык (5 мест/5м.) IEK,290100034_,,,,,,4,5,,2,,,3,,,4,,,,5,,,6,1,1,,7,1,,,1,29,,11,80
СФ-05К-вык (5 мест/5м.) серый IEK,290100148_,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,,,,,1,,1,11
СФ-05К-вык (5 мест/5м.) черный IEK,290100147_,,,,,,,,,,,,,,,,,,,,,,6,1,7,1,2,,4,2,2,4,18,,47
Т-образный угол КМТ 100х60 Белый ЭЛЕКОР IEK (2),280200067_,1,14,,,55,5,3,4,5,11,1,10,,3,85,1,16,8,5,10,33,15,4,11,8,19,11,32,6,2,37,4,7,426
Т-образный угол КМТ 16х16 Белый ЭЛЕКОР IEK (4),280200069_,4,,42,,5,3,35,2,13,40,,,,,,,15,32,16,48,7,3,43,2,42,40,20,,,,,,,412
Т-образный угол КМТ 20х10 Белый ЭЛЕКОР IEK (4),280200070_,20,,26,,,,5,4,,59,44,12,10,,,,,,,65,10,1,5,,,,,,,4,1,,,266
Т-образный угол КМТ 25х16 Белый ЭЛЕКОР IEK (4) ,280200084_,75,13,50,2,7,5,21,12,50,11,51,48,27,10,19,50,2,20,,54,,125,51,61,6,69,28,54,44,61,58,14,56,1154
Т-образный угол КМТ 40х16 Белый ЭЛЕКОР IEK (4),280200071_,12,,,,32,,10,,,40,,3,23,,,15,,,5,100,,1,7,10,,27,9,,,,,,,294
Т-образный угол КМТ 40х25 Белый ЭЛЕКОР IEK (4),280200072_,63,4,1,98,,5,7,1,12,51,54,14,,21,152,1,,36,17,82,28,3,46,1,,32,60,3,8,27,45,10,27,909
Т-образный угол КМТ 60х40 Белый ЭЛЕКОР IEK (4),280200073_,,5,2,22,14,3,12,11,18,13,12,28,3,3,6,11,19,7,9,1,13,7,14,12,6,14,1,57,10,5,32,50,-4,416
Т-угол  80х40  ПРАЙМЕР (108),280100136_,,,4,,2,,2,9,,12,,8,4,,3,4,1,,1,14,8,1,12,,2,,1,13,,,24,1,,126
Т-угол 100х40  ПРАЙМЕР (108),280100135_,6,1,16,,16,7,9,,30,,21,12,7,,13,3,15,,10,,5,24,13,6,29,9,16,1,3,3,1,2,1,279
Таймер ТО47 освещения 16 230В на DIN-рейку IEK !!! (200),130300247_,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Таймер ТЭ15 цифровой 16А 230В на DIN-рейку IEK (100),130300102_,73,73,25,124,99,75,99,132,96,157,153,17,1,5,47,26,73,68,47,66,74,61,98,72,53,40,43,51,69,63,40,50,31,2201
Таймер ТЭМ 181 аналоговый 16А 230В на DIN-рейку IEK (100),130300302_,22,21,11,9,6,21,34,17,10,30,7,39,36,18,4,48,5,2,14,17,2,9,9,6,10,6,7,14,10,30,30,30,20,554
"Тепловое реле РТИ-1301 (0,1-0,16 А)  IEK !!!",130600075_,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Тепловое реле РТИ-1302 (0,16-0,25А) IEK !!!",130600076_,,,,,,,1,4,,,,,,,,,,,8,,,,,,,,,,,,,,,13
"Тепловое реле РТИ-1303 (0,25-0,4А) IEK !!!",130600077_,,,,,,,,5,2,,,,,,1,,,,,1,,,,,,,,,1,,,,,10
"Тепловое реле РТИ-1304 (0,4-0,63А) IEK (1/100)",130600078_,9,5,,11,,,14,7,,10,,1,,2,,17,,,,,2,1,,9,4,,1,,2,,1,,2,98
"Тепловое реле РТИ-1305 (0,63-1,0А) IEK (1/100)",130600079_,16,8,13,5,,15,8,20,10,5,4,9,,,6,2,3,,2,,12,,14,1,,2,3,,6,,1,,5,170
"Тепловое реле РТИ-1306 (1-1,6А) IEK (1/100)",130600080_,15,2,24,8,12,3,6,12,10,6,19,34,2,40,5,,8,8,3,,10,4,4,5,1,7,1,4,6,2,1,2,8,272
"Тепловое реле РТИ-1307 (1,6-2,5А) IEK (1/100)",130600031_,5,20,12,5,19,6,17,40,11,26,13,31,7,,18,44,3,14,10,14,5,6,1,2,5,10,4,7,3,4,4,13,12,391
"Тепловое реле РТИ-1308 (2,5-4,0А) IEK (1/100)",130600052_,20,24,14,9,13,25,30,33,33,7,9,2,11,25,27,23,7,32,10,16,14,14,3,22,13,1,8,,2,12,2,3,5,469
Тепловое реле РТИ-1310 (4-6А) IEK (1/100),130600032_,9,5,1,8,18,9,10,21,7,17,43,9,14,2,12,33,14,41,2,38,8,4,6,18,8,11,5,3,47,20,1,3,10,457
"Тепловое реле РТИ-1312  (5,5-8А) IEK (1/100)",130600086_,6,32,6,7,8,20,15,23,28,,13,17,3,1,10,1,3,25,6,4,12,3,12,6,6,2,,27,15,2,,4,,317
Тепловое реле РТИ-1314 (7-10А) IEK (1/100),130600021_,6,3,24,15,12,30,21,63,30,31,54,16,5,14,23,12,52,7,33,24,10,61,37,9,1,16,2,58,4,7,,6,11,697
Тепловое реле РТИ-1316 (9-13А) IEK (1/100),130600022_,20,9,22,21,17,37,21,28,23,12,41,22,13,22,25,8,30,9,8,47,37,21,10,23,,8,6,22,2,12,4,3,4,587
Тепловое реле РТИ-1321 (12-18А) IEK (1/100),130600053_,10,28,19,55,28,18,9,63,67,29,45,16,20,57,25,22,71,25,25,17,14,41,20,30,12,17,28,60,9,21,14,53,6,974
Тепловое реле РТИ-1322 (17-25А) IEK (1/100),130600023_,22,21,40,37,52,57,49,48,53,26,32,72,21,30,45,48,47,17,35,27,34,36,42,58,13,34,17,69,27,38,16,47,15,1225
Тепловое реле РТИ-2355 (28-36А) IEK (60),130600024_,28,13,14,5,5,1,5,42,8,8,2,13,17,,5,5,1,5,10,4,,27,6,1,10,2,1,1,5,5,1,10,3,263
Тепловое реле РТИ-3353 (23-32А) IEK (50),130600066_,13,17,29,,6,12,5,23,3,13,6,14,3,7,17,6,42,21,,8,10,22,13,30,4,12,8,25,6,,3,2,3,383
Тепловое реле РТИ-3355 (30-40А) IEK (50),130600025_,17,9,30,26,14,3,2,34,23,11,14,31,3,25,35,18,33,10,8,12,5,26,16,24,7,13,4,34,4,17,3,12,8,531
Тепловое реле РТИ-3357 (37-50А) IEK (50),130600051_,,16,7,23,3,10,3,7,25,19,13,3,7,2,1,23,31,7,14,7,11,15,,20,5,10,,,7,1,2,6,2,300
Тепловое реле РТИ-3359 (48-65А) IEK (50) !!!,130600057_,,,,,,1,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,9
Тепловое реле РТИ-3361 (55-70А) IEK (50),130600067_,12,16,16,5,4,6,12,22,,,12,,4,,5,14,6,2,,2,2,19,15,20,,5,,5,,2,,5,1,212
Тепловое реле РТИ-3363 (63-80А) IEK (50),130600064_,2,3,5,5,19,1,2,9,2,20,5,1,4,2,5,17,18,32,21,9,12,14,3,25,4,13,,2,12,1,1,14,,283
