№,Код 1с,Артикул поставщика,Наименование,Мин. разр. к отгр.
255,010700141_,AR-M06N-1-C063,ARMAT (1ф) 63А C IEK (1),1
256,010700133_,AR-M06N-1-C006,ARMAT (1ф) 6А C IEK (1),1
257,010700143_,AR-M06N-2-C010,ARMAT (2ф) 10А C IEK (1),1
258,010700144_,AR-M06N-2-C016,ARMAT (2ф) 16А C IEK (1),1
259,010700145_,AR-M06N-2-C020,ARMAT (2ф) 20А C IEK (1),1
260,010700146_,AR-M06N-2-C025,ARMAT (2ф) 25А C IEK (1),1
261,010700147_,AR-M06N-2-C032,ARMAT (2ф) 32А C IEK (1),1
262,010700148_,AR-M06N-2-C040,ARMAT (2ф) 40А C IEK (1),1
263,010700149_,AR-M06N-2-C050,ARMAT (2ф) 50А C IEK (1),1
264,010700150_,AR-M06N-2-C063,ARMAT (2ф) 63А C IEK (1),1
265,010700142_,AR-M06N-2-C006,ARMAT (2ф) 6А C IEK (1),1
266,010700152_,AR-M06N-3-C010,ARMAT (3ф) 10А C IEK (1),1
267,010700153_,AR-M06N-3-C016,ARMAT (3ф) 16А C IEK (1),1
268,010700154_,AR-M06N-3-C020,ARMAT (3ф) 20А C IEK (1),1
269,010700155_,AR-M06N-3-C025,ARMAT (3ф) 25А C IEK (1),1
270,010700156_,AR-M06N-3-C032,ARMAT (3ф) 32А C IEK (1),1
271,010700158_,AR-M06N-3-C040,ARMAT (3ф) 40А C IEK (1),1
272,010700159_,AR-M06N-3-C050,ARMAT (3ф) 50А C IEK (1),1
273,010700160_,AR-M06N-3-C063,ARMAT (3ф) 63А C IEK (1),1
274,010700151_,AR-M06N-3-C006,ARMAT (3ф) 6А C IEK (1),1
275,AR-M06N-4-C025,AR-M06N-4-C025,ARMAT Автоматический выключатель M06N 4P C 25А IEK,1
276,010500111_,MNV10-3-020,Выкл. нагрузки ВН-32 (3ф)  20А IEK (4/80),4
277,010500102_,MNV10-3-032,Выкл. нагрузки ВН-32 (3ф)  32А IEK (4/80),4
278,010500041_,MNV10-3-040,Выкл. нагрузки ВН-32 (3ф)  40А IEK (4/80),4
279,010500042_,MNV10-3-063,Выкл. нагрузки ВН-32 (3ф)  63А IEK (4/80),4
280,010500040_,MNV10-3-100,Выкл. нагрузки ВН-32 (3ф) 100А IEK (4/80),4
281,130500098_,MOP20-1-B,Огр-ль имп. перенапр. ОПС1-B 1Р In=30kA Un=400B Im=60kA IEK E-PRO,1
282,130500137_,MOP20-1-D,Огр-ль имп. перенапр. ОПС1-D 1Р In=5kA Un=230B Im=10kA IEK E-PRO,10
283,200400050_,KMM11-006-230-10,  Миниконтактор МКИ-10610 6А 230В IEK (1/100),1
284,120100001_,KKM11-009-230-10, Контактор КМИ-10910  9А  230В (1вел) IEK (1/50),5
285,120100032_,KKM11-009-400-10, Контактор КМИ-10910  9А  400В (1вел) IEK (1/50),1
286,120100002_,KKM11-012-230-10, Контактор КМИ-11210 12А 230В (1вел) IEK (1/50),1
287,120100033_,KKM11-012-400-10, Контактор КМИ-11210 12А 400В (1вел) IEK (1/50),1
288,120100004_,KKM11-018-230-10, Контактор КМИ-11810 18А 230В (1вел) IEK (1/50),5
289,120100034_,KKM11-018-400-10, Контактор КМИ-11810 18А 400В (1вел) IEK (1/50),1
290,120100006_,KKM21-025-230-10, Контактор КМИ-22510 25А 230В (2вел) IEK (1/50),1
291,120100035_,KKM21-025-400-10, Контактор КМИ-22510 25А 400В (2вел) IEK (1/50),1
292,120100030_,KKM21-032-230-10, Контактор КМИ-23210 32А 230В (2вел) IEK (1/50),1
293,120100036_,KKM21-032-400-10, Контактор КМИ-23210 32А 400В (2вел) IEK (1/50),1
294,120100011_,KKM31-040-230-11, Контактор КМИ-34012 40А 230В (3вел) IEK (1/20),1
295,120100037_,KKM31-040-400-11, Контактор КМИ-34012 40А 400В (3вел) IEK (1/20),1
296,120100013_,KKM31-050-230-11, Контактор КМИ-35012 50А 230В (3вел) IEK (1/20),1
297,120100038_,KKM31-050-400-11, Контактор КМИ-35012 50А 400В (3вел) IEK (1/20),1
298,120100118_,KKM41-065-230-11, Контактор КМИ-46512 65А 230В (4вел) IEK (1/20),1
299,120100119_,KKM41-065-400-11, Контактор КМИ-46512 65А 400В (4вел) IEK (1/20),1
300,120100041_,KKM41-080-230-11, Контактор КМИ-48012 80А 230В (4вел) IEK (1/16),1
301,120100042_,KKM41-080-400-11, Контактор КМИ-48012 80А 400В (4вел) IEK (1/16),1
302,120100016_,KKM41-095-230-11, Контактор КМИ-49512 95А 230В (4вел) IEK (1/16),1
303,120100081_,KKM41-095-400-11, Контактор КМИ-49512 95А 400В (4вел) IEK (1/16),1
304,120100055_,KKM16-009-220-00,Контактор  КМИ-10960 9А 220В  IP54  (1вел в корпусе) IEK (1/20),1
305,120100045_,KKM16-009-380-00,Контактор  КМИ-10960 9А 380В  IP54 (1вел в корпусе) IEK (1/20),1
306,120100056_,KKM16-012-220-00,Контактор  КМИ-11260 12А 220В  IP54 (1вел в корпусе) IEK (1/20),1
307,120100003_,KKM16-012-380-00,Контактор  КМИ-11260 12А 380В  IP54 (1вел в корпусе) IEK (1/20),1
308,120100057_,KKM16-018-220-00,Контактор  КМИ-11860 18А 220В  IP54 (1вел в корпусе) IEK (1/20),1
309,120100005_,KKM16-018-380-00,Контактор  КМИ-11860 18А 380В  IP54 (1вел в корпусе) IEK (1/20),1
310,120100058_,KKM26-025-220-00,Контактор  КМИ-22560 25А 220В  IP54 (2вел в корпусе) IEK (1/16),1
311,120100008_,KKM26-025-380-00,Контактор  КМИ-22560 25А 380В  IP54 (2вел в корпусе) IEK (1/16),1
312,120100059_,KKM26-032-220-00,Контактор  КМИ-23260 32А 220В  IP54 (2вел в корпусе) IEK (1/16),1
313,120100010_,KKM26-032-380-00,Контактор  КМИ-23260 32А 380В  IP54 (2вел в корпусе) IEK (1/16),1
314,120100080_,KKM36-040-220-00,Контактор  КМИ-34062 40А 220В  IP54 (3вел в корпусе) IEK (1/6),1
315,120100012_,KKM36-040-380-00,Контактор  КМИ-34062 40А 380В  IP54 (3вел в корпусе) IEK (1/6),1
316,120100060_,KKM36-050-220-00,Контактор  КМИ-35062 50А 220В  IP54 (3вел в корпусе) IEK (1/6),1
317,120100122_,KKM46-065-380-00,Контактор  КМИ-46562 65А 380В  IP54 (3вел в корпусе) IEK (1/6),1
318,120300008_,KKT50-115-230-10,Контактор  КТИ 5115  115А 230В IEK (1/4),1
319,120300023_,KKT50-115-400-10,Контактор  КТИ 5115  115А 400В IEK (1/4),1
320,120100043_,KKT50-150-230-10,Контактор  КТИ 5150  150А 230В IEK (1/4),1
321,120100044_,KKT50-150-400-10,Контактор  КТИ 5150  150А 400В IEK (1/4),1
322,120100085_,KKT50-185-230-10,Контактор  КТИ 5185  185А 230В IEK (1/4),1
323,120100088_,KKT50-185-400-10,Контактор  КТИ 5185  185А 400В IEK (1/4),1
324,120100047_,KKT50-225-230-10,Контактор  КТИ 5225  225А 230В IEK (1/2),1
325,120100046_,KKT50-225-400-10,Контактор  КТИ 5225  225А 400В IEK (1/2),1
326,120100086_,KKT50-265-230-10,Контактор  КТИ 5265  265А 230В IEK (1/2),1
327,120100089_,KKT50-265-400-10,Контактор  КТИ 5265  265А 400В IEK (1/2),1
328,120100087_,KKT60-400-230-10,Контактор КТИ 6400  400А 230В IEK (1/4),1
329,120100050_,KKT60-400-400-10,Контактор КТИ 6400  400А 400В IEK (1/2),1
330,120100320_,MKK11-20-11,Контактор КМ 20-11М AC IEK ,1
331,120100306_,MKK11-20-20,Контактор КМ 20-20М AC IEK,1
332,MKK11-20-22,MKK11-20-22,Контактор КМ 20-22М AC IEK E-PRO,1
333,120100307_,MKK11-20-40,Контактор КМ 20-40М AC IEK E-PRO,1
334,120100322_,MKK11-25-22,Контактор КМ 25-22М AC IEK ,1
335,MKK11-40-11,MKK11-40-11,Контактор КМ 40-11М AC IEK E-PRO,1
336,120100325_,MKK11-40-20,Контактор КМ 40-20М AC IEK E-PRO,1
337,120100308_,MKK21-40-40,Контактор КМ 40-40М AC/DC IEK E-PRO,1
338,MKK11-63-20,MKK11-63-20,Контактор КМ 63-20М AC IEK E-PRO,1
339,120100309_,MKK21-63-40,Контактор КМ 63-40М AC/DC IEK E-PRO,1
340,130300103_,KPK10-11,Приставка ПКИ 11 1з+1р IEK (1/250),1
341,130300152_,KPK10-22,Приставка ПКИ 22 2з+2р IEK (1/250),1
342,120100070_,DMS11-010, Пускатель ПРК32-10 In=10A Ir=6-10A Ue 660В IEK (1/50),1
343,120100071_,DMS11-014, Пускатель ПРК32-14 In=14A Ir=9-14A Ue 660В IEK (1/50),1
344,120100072_,DMS11-018, Пускатель ПРК32-18 In=18A Ir=13-18A Ue 660В IEK (1/50),1
345,120100073_,DMS11-025, Пускатель ПРК32-25 In=25A Ir=20-25A Ue 660В IEK (1/50),1
346,120100069_,DMS11-D63," Пускатель ПРК32-6,3 In=6,3A Ir=4-6,3A Ue 660В IEK (1/50)",1
347,080800070_,BLS10-ADDS-230-K05,Индикатор AD-22DS (LED) Ø22мм (желтый) IEK (10/600),10
348,080800071_,BLS10-ADDS-230-K06,Индикатор AD-22DS (LED) Ø22мм (зеленый) IEK (10/600),10
349,080800072_,BLS10-ADDS-230-K04,Индикатор AD-22DS (LED) Ø22мм (красный) IEK (10/600),10
350,080800024_,BLS30-ALTE-K06,Индикатор AL-22TE Ø22мм (зеленый неон) IEK (10/300),10
351,130200019_,MIF10-400,Свет. индикатор фаз (3-х фазн. на DIN-рейку) IEK (24/480),24
352,130900014_,KVK10-06-3, ВКИ-211 3Р 6А 230\400В IP40 IEK (10/120),10
353,130900013_,KVK20-10-3, ВКИ-216 3Р 10А 230\400В IP40 IEK (10/120),10
354,130900001_,KVK30-16-3, ВКИ-230 3Р 16А 230\400В IP40 IEK (10/100),10
355,130200085_,MBD10-11-K51, Кнопка управления модульная КМУ-11 IEK (12/144),12
356,130300021_,BBT30-ABLFS-K06,Кнопка ABLFS-22 (зеленый неон) IEK (10/200),10
357,130300022_,BBT30-ABLFS-K04,Кнопка ABLFS-22 (красный неон) IEK (10/200),10
358,130900065_,BBG30-AEA-K04,"Кнопка AEA-22  (грибок, красный)  IEK  (10/200)",10
359,130900017_,BBG60-AEAL-K04,Кнопка AEAL-22 (грибок с фиксац.красн) IEK (10/200),10
360,130900031_,BBG20-AELA-K06,Кнопка AELA-22 (грибок зеленый неон) IEK (10/200),10
361,130900030_,BBG20-AELA-K04,Кнопка AELA-22 (грибок красный неон) IEK (10/200),10
362,130900008_,BSW10-ALCLR-3-K02,Кнопка ALCLR-22 (черный.на 3 полож) IEK (10/200),10
363,130900009_,BBG40-ANE-K04,Кнопка ANE-22 (грибок с фиксац.красн.неон) IEK (10/200),10
364,130300154_,BBD11-APBB-K51,"Кнопка APBB-22N ""ПУСК-СТОП"" Ø22мм IEK(10/200)",10
365,130300080_,BBD21-PPBB-K51,"Кнопка PPВВ-30N ""ПУСК-СТОП"" Ø30мм IEK (10/200)",10
366,130900020_,BBT40-SB7-K06,"Кнопка SB-7 ""ПУСК"" (зеленая Ø22мм) IEK (10/500)",10
367,130900019_,BBT40-SB7-K04,"Кнопка SB-7 ""СТОП"" (красная Ø22мм) IEK (10/500)",10
368,130300101_,BSW10-AKS-2-K02, Переключатель AKS-22  (черный с ключом на 2 фикс.полож.) IEK (10/200),10
369,130900012_,BSW10-ANC-2-K06, Переключатель ANC-22-2 (зеленый неон на 2 полож)  IEK (10/200),10
370,130900010_,BSW10-ANC-2-K04, Переключатель ANC-22-2 (красный неон на 2 полож)  IEK (10/200),10
371,130900006_,BSW10-ANCLR-3-K06, Переключатель ANCLR 22-3 (зеленый неон на 3 полож.) IEK (10/200),10
372,130900007_,BSW10-ANCLR-3-K04, Переключатель ANCLR 22-3 (красный неон на 3 полож.) IEK (10/200),10
373,010500124_,BSW60-BD-2-K02," Переключатель LAY5-BD25 2 полож.""1-0"" стандарт ручка IEK (1/20)",20
374,010500122_,BSW60-BD-3-K02," Переключатель LAY5-BD33 3 положения ""I-0-II"" стандарт ручка ИЕК (1/20)",20
375,130301133_,BBG90-BS-K04," Переключатель LAY5-BS542 ""Грибок"" аварийная с фиксацией поворотная IEK ",20
376,270300134_,BCS13-025-2," Переключатель кулачковый ПКП25-33 /О 25А""1-0-2""3Р/400В  IEK",#N/A
377,250600030_,BKP10-1-K01,Пост кноп (корпус) КП-101 (1 мест.бел.) IEK (10/100),10
378,250600013_,BKP10-2-K01,Пост кноп (корпус) КП-102 (2 мест.бел.) IEK (10/100),10
379,250600014_,BKP10-3-K01,Пост кноп (корпус) КП-103 (3 мест.бел.) IEK (10/100),10
380,250600015_,BKP10-4-K01,Пост кноп (корпус) КП-104 (4 мест.бел.) IEK (10/50),10
381,130300204_,BPU10-2,Пост тельф.ПКТ-61 (на 2 кноп.) IP54 IEK (5/60),5
382,130300004_,BPU10-4,Пост тельф.ПКТ-62 (на 4 кноп.) IP54 IEK (5/40),5
383,130300003_,BPU10-6,Пост тельф.ПКТ-63 (на 6 кноп.) IP54 IEK (5/30),5
384,080800062_,MLS10-230-K05,Сиг. лампа ЛС-47 (желтый неон) IEK (12/240),12
385,080800030_,MLS10-230-K06,Сиг. лампа ЛС-47 (зеленый неон) IEK (12/240),12
386,080800031_,MLS10-230-K04,Сиг. лампа ЛС-47 (красный неон) IEK (12/240),12
387,130600078_,DRT10-D004-C063,"Тепловое реле РТИ-1304 (0,4-0,63А) IEK (1/100)",1
388,130600079_,DRT10-C063-0001,"Тепловое реле РТИ-1305 (0,63-1,0А) IEK (1/100)",1
389,130600080_,DRT10-0001-D016,"Тепловое реле РТИ-1306 (1-1,6А) IEK (1/100)",1
390,130600031_,DRT10-D016-D025,"Тепловое реле РТИ-1307 (1,6-2,5А) IEK (1/100)",1
391,130600052_,DRT10-D025-0004,"Тепловое реле РТИ-1308 (2,5-4,0А) IEK (1/100)",1
392,130600032_,DRT10-0004-0006,Тепловое реле РТИ-1310 (4-6А) IEK (1/100),1
393,130600086_,DRT10-D055-0008,"Тепловое реле РТИ-1312  (5,5-8А) IEK (1/100)",1
394,130600021_,DRT10-0007-0010,Тепловое реле РТИ-1314 (7-10А) IEK (1/100),1
395,130600022_,DRT10-0009-0013,Тепловое реле РТИ-1316 (9-13А) IEK (1/100),1
396,130600053_,DRT10-0012-0018,Тепловое реле РТИ-1321 (12-18А) IEK (1/100),1
397,130600023_,DRT10-0017-0025,Тепловое реле РТИ-1322 (17-25А) IEK (1/100),1
398,130600024_,DRT20-0028-0036,Тепловое реле РТИ-2355 (28-36А) IEK (60),1
399,130600066_,DRT30-0023-0032,Тепловое реле РТИ-3353 (23-32А) IEK (50),1
400,130600025_,DRT30-0030-0040,Тепловое реле РТИ-3355 (30-40А) IEK (50),1
401,130600051_,DRT30-0037-0050,Тепловое реле РТИ-3357 (37-50А) IEK (50),1
402,130600067_,DRT30-0055-0070,Тепловое реле РТИ-3361 (55-70А) IEK (50),1
403,130600064_,DRT30-0063-0080,Тепловое реле РТИ-3363 (63-80А) IEK (50),1
404,130300020_,MVA01D-RN,Расцепитель независимый РН47 на DIN-рейку НОВЫЕ IEK (12/240),12
405,270300112_,ITT10-2-05-0050,"  Трансформатор тока ТТИ-А   50/5А  5ВА  класс 0,5  IEK",1
406,270300098_,ITT10-2-05-0075,"  Трансформатор тока ТТИ-А   75/5А  5ВА  класс 0,5  IEK",1
407,270300099_,ITT10-2-05-0100,"  Трансформатор тока ТТИ-А  100/5А  5ВА  класс 0,5  IEK",1
408,270300101_,ITT10-2-05-0200,"  Трансформатор тока ТТИ-А  200/5А  5ВА  класс 0,5  IEK",1
409,270300132_,ITT10-2-05-0250,"Трансформатор тока ТТИ-А  250/5А  5ВА  класс 0,5  IEK",1
410,270300021_,ITT30-2-05-0300," Трансформатор тока ТТИ-40  300/5А  5ВА  класс 0,5  IEK",1
411,270300025_,ITT30-2-05-0400," Трансформатор тока ТТИ-40  400/5А  5ВА  класс 0,5  IEK",1
412,270300234_,ITT30-2-05-0500," Трансформатор тока ТТИ-40 500/5А 5ВА 0,5 IEK ",1
413,270300035_,ITT30-2-05-0600," Трансформатор тока ТТИ-40 600/5А 5ВА 0,5 IEK ",#N/A
414,270300217_,ITT60-2-15-1000,"Трансформатор тока ТТИ-100 1000/5А 15ВА 0,5 IEK ",#N/A
415,270300100_,ITT10-2-05-0150,"Трансформатор тока ТТИ-А  150/5А  5ВА  класс 0,5  IEK",1
416,270100211_,PE-31120-0250,Разъединитель РЕ19-35-31120 250А IEK (4) NEW,1
417,270100212_,PE-31120-0400,Разъединитель РЕ19-37-31120 400А IEK (4) NEW,1
418,270100217_,PE-31140-0400,Разъединитель РЕ19-37-31140 400А IEK (4) NEW,1
419,270100213_,PE-31120-0630,Разъединитель РЕ19-39-31120 630А IEK (1) NEW,1
420,270100218_,PE-31140-0630,Разъединитель РЕ19-39-31140 630А IEK (1) NEW,1
421,270100221_,PE-31160-0630,Разъединитель РЕ19-39-31160 630А IEK (1) NEW,1
422,270100214_,PE-31120-1000,Разъединитель РЕ19-41-31120 1000А IEK (1) NEW,1
423,270100219_,PE-31140-1000,Разъединитель РЕ19-41-31140 1000А IEK (1) NEW,1
424,270100215_,PE-31120-1600,Разъединитель РЕ19-43-31120 1600А IEK (1) NEW,1
425,270100223_,PE-31160-1600,Разъединитель РЕ19-43-31160 1600А IEK (1) NEW,1
426,270400035_,MPR10-2-063,Рубильник  трехпозиционный ВРТ-63 2P 63А IEK E-PRO,6
427,270300001_,MTT12-012-0250, Ящик  ЯТП(укп) 220/12 IEK (1),1
428,270300002_,MTT12-024-0250, Ящик  ЯТП(укп) 220/24 IEK  (1),1
429,270300003_,MTT12-036-0250, Ящик  ЯТП(укп) 220/36 IEK  (1),1
430,270300004_,MTT12-042-0250, Ящик  ЯТП(укп) 220/42 IEK (1),1
431,270300007_,MTT21-036-0250, Ящик  ЯТП(укп) 380/36 IEK (1),1
432,270300253_,MTT12-012-0251-54,Ящик  ЯТП(укп) 230/12 IP54 IEK (1),1
433,270300251_,MTT12-024-0251-54,Ящик  ЯТП(укп) 230/24 IP54 IEK (1),1
434,270300254_,MTT12-036-0251-54,Ящик  ЯТП(укп) 230/36 IP54 IEK (1),1
435,130600128_,ORT-M2-ACDC12-240V, Реле времени  ORT многофункц. 2 конт. 12-240V AC/DC IEK (1/200),1
436,130300084_,MZD10-230,Звонок ЗД-47 на DIN-рейку IEK (12/240),12
437,130600124_,ORT-2T-ACDC12-240V,Реле времени ORT 2 конт. 2 уст. 12-240В AC/DC ИЭК ORT-2T-ACDC12-240V NEW,1
438,130600125_,ORT-M1-AC230V,Реле времени ORT многофункц. 1 конт. 230В AC ИЭК ORT-M1-AC230V NEW,1
439,130600211_,ORM-1-2C-AC220V-L-B,Реле интерфейсное ORM-1 2C 220В AC с LED и тест. кнопкой ONI ORM-1-2C-AC220V-L-B NEW,20
440,130600210_,ORM-1-2C-DC24V-L-B,Реле интерфейсное ORM-1 2C 24В DC с LED и тест. кнопкой ONI ORM-1-2C-DC24V-L-B NEW,20
441,130600209_,ORM-1-4C-DC24V-L-B,Реле интерфейсное ORM-1 4C 24В DC с LED и тест. кнопкой ONI ORM-1-4C-DC24V-L-B NEW,20
442,130600203_,ORL-01-ACDC24-240V,Реле уровня ORL 24-240В AC/DC ИЭК ORL-01-ACDC24-240V NEW,1
443,130600126_,ORT-M1-ACDC12-240V,Реле времени ORT многофункциональное 1 контакт 12-240В AC/DC IEK,1
444,130600136_,ORF-03-220-460VAC,Реле фаз ORF 03. 3ф 220-460V IEK (1/200),1
445,130600137_,ORF-05-220-460VAC,Реле фаз ORF 05. 3ф 220-460V IEK (1/200),1
446,130600138_,ORF-06-220-460VAC,Реле фаз ORF 06. 3ф 220-460V IEK (1/200),1
447,130600224_,ORF-08D-127-265VAC,Реле фаз ORF-08D 3ф. 2 конт. 127-265В AC с контр. нейтр. ONI ORF-08D-127-265VAC NEW,1
448,130600223_,ORF-08D-220-460VAC,Реле фаз ORF-08D 3ф. 2 конт. 220-460В AC ONI ORF-08D-220-460VAC NEW,1
449,130600098_,RRP10D-RRM-3,Разъем РРМ77/3(PTF11A) для РЭК77/3(LY3) модульный IEK,10
450,130600063_,RRP10D-RRM-4,Разъем РРМ77/4(PTF14A) для РЭК77/4(LY4) модульный IEK (10/400),10
451,130600062_,RRP20D-RRM-4,Разъем РРМ78/4 для РЭК78/4(MY4) модульный IEK (20/500),20
452,130600217_,OIR-208-AC230V,Реле промежут. OIR 2 конт. 8А 230В AC ИЭК OIR-208-AC230V NEW,1
453,130600150_,OIR-316-AC230V,Реле промежут. OIR 3 конт. 16А 230В AC ИЭК OIR-316-AC230V NEW,1
454,130600216_,OIR-316-ACDC24V,Реле промежут. OIR 3 конт. 16А 24В AC/DC ИЭК OIR-316-ACDC24V NEW,1
455,130600148_,OIR-308-AC230V,Реле промежут. OIR 3 конт. 8А 230В AC ИЭК OIR-308-AC230V NEW,1
